Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2015,Sonny Gray,Athletics,208,94.1,92.6,,93.9,88.5,87.1,82.5,,,,12768
2012,Ross Detwiler,Nationals,164.1,94.1,,,92.8,85.1,,79.9,,,,2859
2018,Kevin Gausman,- - -,183.2,94.1,,83.1,92.7,86,81.9,,,,,14107
2011,Justin Masterson,Indians,216,94.1,,,92.7,84.8,83.9,,,,,2038
2013,Edwin Jackson,Cubs,175.1,94.1,93.3,,93.8,87.6,85.9,79.1,,,,1841
2018,Carlos Carrasco,Indians,192,94.1,,,93.4,88.4,84.5,81.9,,,,6632
2011,Felix Hernandez,Mariners,233.2,94.1,,,93.8,89.9,86.7,82.2,,,,4772
2008,Zack Greinke,Royals,202.1,94.1,,,93.4,82.7,85.9,75.4,64.4,,,1943
2009,Zack Greinke,Royals,229.1,94.1,,,93.7,83.9,86,73.7,62.6,,,1943
2011,Daniel Hudson,Diamondbacks,222,94.1,,,93.8,84.4,88.2,,,,,7146
2014,Johnny Cueto,Reds,243.2,94.1,89.5,,93.8,85,85.7,81.5,61.4,,,6893
2007,Ian Snell,Pirates,208,94,,,93.7,86.4,85.5,,,,,2227
2016,Jimmy Nelson,Brewers,179.1,94,,,94.1,87.1,88,84,,,,10547
2016,Martin Perez,Rangers,198.2,94,,,93.7,85.4,85.7,81,,,,6902
2008,Mike Pelfrey,Mets,200.2,94,,,93.3,84,85.3,75.1,,,,5203
2010,Johnny Cueto,Reds,185.2,94,90.5,,93.7,83.1,85.1,,,,,6893
2013,Justin Masterson,Indians,193,94,,,91,84.5,83.6,,,,,2038
2008,Jeremy Guthrie,Orioles,190.2,94,,,93.9,85.6,84.8,74.2,,,,2072
2015,Tyson Ross,Padres,196,94,91.4,,93.7,89.2,87.3,,,,,7872
2010,Jon Lester,Red Sox,208,93.9,90.1,,92.8,85.6,,78,,,,4930
2016,Francisco Liriano,- - -,163,93.9,,,93.5,86,86.1,79.7,,,,3201
2014,Tom Koehler,Marlins,191.1,93.9,91.8,,93.9,86.4,87.1,79.9,,,,6570
2013,Mat Latos,Reds,210.2,93.9,,83.2,93.2,84.7,87,78.8,,,,3815
2012,Derek Holland,Rangers,175.1,93.9,,,93.7,85.3,83.2,77.4,,,,4141
2011,Mat Latos,Padres,194.1,93.9,,,92.6,83.6,84.1,78.3,,,,3815
2011,Max Scherzer,Tigers,195,93.9,,,,83.1,83.3,,,,,3137
